Category,ContentType,ReactionType,Sentiment,Score,Datetime
healthy eating,photo,heart,positive,60,6/16/2021 3:02
healthy eating,photo,indifferent,neutral,20,7/7/2020 10:52
healthy eating,photo,peeking,neutral,35,8/20/2020 7:59
healthy eating,photo,love,positive,65,9/23/2020 11:15
healthy eating,photo,like,positive,50,3/24/2021 5:56
healthy eating,photo,hate,negative,5,12/7/2020 19:13
healthy eating,photo,super love,positive,75,8/3/2020 16:41
healthy eating,photo,adore,positive,72,1/10/2021 15:36
healthy eating,photo,scared,negative,15,9/20/2020 8:48
healthy eating,photo,cherish,positive,70,7/20/2020 14:06
healthy eating,photo,adore,positive,72,10/24/2020 12:15
healthy eating,photo,interested,positive,30,6/6/2021 1:27
healthy eating,photo,heart,positive,60,12/25/2020 0:09
healthy eating,photo,like,positive,50,6/14/2021 7:56
healthy eating,photo,like,positive,50,6/5/2021 18:00
healthy eating,photo,hate,negative,5,11/18/2020 23:37
healthy eating,photo,interested,positive,30,5/9/2021 2:42
healthy eating,photo,dislike,negative,10,5/11/2021 8:38
healthy eating,photo,peeking,neutral,35,11/12/2020 8:00
healthy eating,photo,heart,positive,60,6/21/2020 16:57
healthy eating,photo,super love,positive,75,3/4/2021 23:58
healthy eating,photo,want,positive,70,7/9/2020 16:47
healthy eating,photo,hate,negative,5,8/1/2020 19:16
healthy eating,photo,dislike,negative,10,11/23/2020 22:46
healthy eating,photo,scared,negative,15,12/11/2020 14:08
healthy eating,photo,dislike,negative,10,4/23/2021 23:41
healthy eating,photo,want,positive,70,11/13/2020 0:33
healthy eating,photo,interested,positive,30,6/9/2021 10:13
healthy eating,photo,love,positive,65,10/29/2020 19:41
healthy eating,photo,heart,positive,60,5/14/2021 12:47
healthy eating,photo,disgust,negative,0,8/4/2020 5:40
healthy eating,photo,adore,positive,72,8/7/2020 4:09
healthy eating,photo,adore,positive,72,10/23/2020 21:19
healthy eating,photo,adore,positive,72,11/14/2020 23:53
healthy eating,photo,worried,negative,12,8/4/2020 19:26
healthy eating,photo,interested,positive,30,11/12/2020 4:54
technology,photo,worried,negative,12,4/3/2021 12:17
technology,photo,want,positive,70,9/27/2020 22:15
technology,photo,heart,positive,60,10/27/2020 5:45
technology,photo,scared,negative,15,10/15/2020 9:11
technology,photo,heart,positive,60,5/7/2021 9:16
technology,photo,hate,negative,5,9/16/2020 8:39
technology,photo,indifferent,neutral,20,10/29/2020 15:38
food,video,scared,negative,15,5/24/2021 18:03
cooking,GIF,interested,positive,30,2/25/2021 20:02
cooking,GIF,hate,negative,5,5/2/2021 3:45
cooking,GIF,want,positive,70,1/28/2021 8:49
cooking,GIF,peeking,neutral,35,2/15/2021 13:06
cooking,GIF,dislike,negative,10,11/4/2020 21:25
cooking,GIF,love,positive,65,6/23/2020 22:12
cooking,GIF,cherish,positive,70,2/16/2021 4:01
cooking,GIF,interested,positive,30,1/3/2021 8:44
cooking,GIF,adore,positive,72,11/25/2020 12:45
cooking,GIF,like,positive,50,12/3/2020 16:47
cooking,GIF,like,positive,50,5/22/2021 21:03
cooking,GIF,cherish,positive,70,1/18/2021 13:39
cooking,GIF,indifferent,neutral,20,1/6/2021 0:35
cooking,GIF,adore,positive,72,5/14/2021 14:33
cooking,GIF,worried,negative,12,5/27/2021 15:21
cooking,GIF,peeking,neutral,35,7/21/2020 2:12
cooking,GIF,dislike,negative,10,5/26/2021 6:09
cooking,GIF,dislike,negative,10,2/25/2021 3:16
cooking,GIF,intrigued,positive,45,12/7/2020 22:50
cooking,GIF,indifferent,neutral,20,10/24/2020 14:06
cooking,GIF,peeking,neutral,35,9/1/2020 21:18
cooking,GIF,adore,positive,72,5/10/2021 22:07
dogs,video,cherish,positive,70,2/12/2021 16:37
dogs,video,heart,positive,60,4/28/2021 15:22
dogs,video,intrigued,positive,45,1/24/2021 0:38
dogs,video,worried,negative,12,3/18/2021 1:53
dogs,video,disgust,negative,0,1/14/2021 7:21
dogs,video,heart,positive,60,12/23/2020 4:11
dogs,video,hate,negative,5,5/21/2021 7:23
dogs,video,like,positive,50,3/28/2021 23:25
dogs,video,peeking,neutral,35,9/16/2020 7:33
dogs,video,indifferent,neutral,20,11/8/2020 10:53
dogs,video,heart,positive,60,3/6/2021 5:23
dogs,video,disgust,negative,0,1/13/2021 23:35
dogs,video,want,positive,70,9/6/2020 22:35
dogs,video,interested,positive,30,6/24/2020 9:31
dogs,video,hate,negative,5,2/7/2021 21:39
dogs,video,intrigued,positive,45,1/21/2021 18:28
dogs,video,dislike,negative,10,2/27/2021 0:21
dogs,video,worried,negative,12,8/22/2020 12:06
dogs,video,cherish,positive,70,8/3/2020 6:29
dogs,video,scared,negative,15,8/2/2020 6:20
dogs,video,want,positive,70,6/4/2021 4:57
dogs,video,super love,positive,75,10/21/2020 9:07
dogs,video,dislike,negative,10,12/26/2020 19:46
dogs,video,scared,negative,15,3/2/2021 22:47
dogs,video,indifferent,neutral,20,3/31/2021 9:48
dogs,video,interested,positive,30,6/14/2021 13:44
dogs,video,scared,negative,15,12/27/2020 17:04
dogs,video,scared,negative,15,2/11/2021 3:51
dogs,video,interested,positive,30,12/7/2020 19:07
dogs,video,interested,positive,30,12/28/2020 8:31
dogs,video,interested,positive,30,10/26/2020 5:27
dogs,video,worried,negative,12,9/26/2020 18:43
dogs,video,scared,negative,15,11/25/2020 13:01
dogs,video,heart,positive,60,7/11/2020 5:51
dogs,video,heart,positive,60,3/19/2021 16:23
dogs,video,interested,positive,30,10/11/2020 18:31
dogs,video,heart,positive,60,11/2/2020 20:15
dogs,video,want,positive,70,10/1/2020 3:35
dogs,video,disgust,negative,0,2/11/2021 20:10
dogs,video,want,positive,70,2/7/2021 15:59
dogs,video,hate,negative,5,10/17/2020 11:46
dogs,video,like,positive,50,8/9/2020 19:41
dogs,video,love,positive,65,2/1/2021 2:40
dogs,video,adore,positive,72,1/30/2021 9:36
technology,video,want,positive,70,3/31/2021 15:24
technology,video,super love,positive,75,2/5/2021 17:00
technology,video,heart,positive,60,2/19/2021 16:29
technology,video,worried,negative,12,7/25/2020 0:00
soccer,photo,adore,positive,72,7/13/2020 2:38
soccer,photo,indifferent,neutral,20,1/13/2021 13:11
soccer,photo,worried,negative,12,1/2/2021 16:46
soccer,photo,intrigued,positive,45,11/26/2020 2:25
soccer,photo,want,positive,70,8/25/2020 19:18
soccer,photo,hate,negative,5,2/1/2021 0:15
soccer,photo,love,positive,65,6/4/2021 14:36
soccer,photo,adore,positive,72,8/19/2020 13:38
soccer,photo,cherish,positive,70,4/22/2021 2:08
soccer,photo,super love,positive,75,6/26/2020 10:33
soccer,photo,like,positive,50,8/15/2020 18:16
soccer,photo,love,positive,65,11/26/2020 13:42
public speaking,photo,want,positive,70,4/14/2021 0:56
public speaking,photo,indifferent,neutral,20,7/21/2020 21:27
public speaking,photo,dislike,negative,10,3/29/2021 6:57
public speaking,photo,want,positive,70,5/20/2021 16:11
public speaking,photo,like,positive,50,11/2/2020 6:09
public speaking,photo,indifferent,neutral,20,10/24/2020 15:37
public speaking,photo,heart,positive,60,9/7/2020 14:42
public speaking,photo,scared,negative,15,3/4/2021 2:46
public speaking,photo,adore,positive,72,1/7/2021 14:08
public speaking,photo,peeking,neutral,35,7/6/2020 11:18
public speaking,photo,like,positive,50,3/27/2021 4:56
public speaking,photo,intrigued,positive,45,11/21/2020 21:25
public speaking,photo,cherish,positive,70,8/22/2020 1:25
public speaking,photo,peeking,neutral,35,6/14/2021 11:45
public speaking,photo,worried,negative,12,7/15/2020 19:28
public speaking,photo,intrigued,positive,45,3/21/2021 14:39
public speaking,photo,super love,positive,75,4/7/2021 3:15
public speaking,photo,cherish,positive,70,4/24/2021 6:56
public speaking,photo,heart,positive,60,9/30/2020 14:05
public speaking,photo,heart,positive,60,7/19/2020 19:28
public speaking,photo,scared,negative,15,1/21/2021 7:08
public speaking,photo,scared,negative,15,1/31/2021 13:48
public speaking,photo,hate,negative,5,12/24/2020 3:24
public speaking,photo,disgust,negative,0,5/27/2021 1:44
public speaking,photo,disgust,negative,0,2/13/2021 4:14
public speaking,photo,adore,positive,72,7/14/2020 4:36
public speaking,photo,dislike,negative,10,7/15/2020 16:03
public speaking,photo,like,positive,50,10/8/2020 17:23
public speaking,photo,heart,positive,60,11/12/2020 23:55
public speaking,photo,want,positive,70,2/21/2021 5:01
public speaking,photo,intrigued,positive,45,7/9/2020 8:58
public speaking,photo,adore,positive,72,6/26/2020 23:45
public speaking,photo,worried,negative,12,11/20/2020 13:18
public speaking,photo,like,positive,50,5/29/2021 21:34
public speaking,photo,indifferent,neutral,20,2/22/2021 2:48
public speaking,photo,scared,negative,15,1/7/2021 18:39
public speaking,photo,adore,positive,72,10/1/2020 15:10
public speaking,photo,hate,negative,5,11/21/2020 8:24
public speaking,photo,scared,negative,15,4/15/2021 13:50
public speaking,photo,love,positive,65,6/30/2020 1:14
public speaking,photo,want,positive,70,12/1/2020 15:06
public speaking,photo,scared,negative,15,11/7/2020 0:47
science,GIF,super love,positive,75,6/30/2020 13:08
science,GIF,heart,positive,60,8/4/2020 3:09
science,GIF,intrigued,positive,45,7/28/2020 7:01
science,GIF,super love,positive,75,10/25/2020 2:39
science,GIF,worried,negative,12,7/5/2020 3:37
science,GIF,cherish,positive,70,4/28/2021 15:16
science,GIF,indifferent,neutral,20,1/31/2021 0:54
science,GIF,adore,positive,72,8/29/2020 11:37
science,GIF,intrigued,positive,45,10/15/2020 12:09
science,GIF,love,positive,65,8/2/2020 21:20
science,GIF,scared,negative,15,10/31/2020 21:46
science,GIF,heart,positive,60,10/12/2020 9:40
science,GIF,want,positive,70,12/12/2020 12:22
science,GIF,like,positive,50,1/9/2021 16:37
science,GIF,hate,negative,5,8/23/2020 4:39
science,GIF,love,positive,65,12/22/2020 4:20
science,GIF,disgust,negative,0,11/7/2020 8:49
science,GIF,adore,positive,72,4/17/2021 22:45
science,GIF,scared,negative,15,4/21/2021 0:21
science,GIF,intrigued,positive,45,7/19/2020 10:33
science,GIF,intrigued,positive,45,7/6/2020 2:08
science,GIF,love,positive,65,3/26/2021 5:42
tennis,GIF,cherish,positive,70,9/13/2020 11:24
tennis,GIF,worried,negative,12,1/28/2021 21:06
tennis,GIF,indifferent,neutral,20,1/20/2021 1:15
tennis,GIF,super love,positive,75,9/3/2020 1:15
tennis,GIF,worried,negative,12,1/9/2021 10:46
tennis,GIF,indifferent,neutral,20,9/19/2020 22:29
tennis,GIF,super love,positive,75,5/29/2021 7:21
tennis,GIF,worried,negative,12,5/15/2021 19:04
tennis,GIF,intrigued,positive,45,8/15/2020 12:27
tennis,GIF,disgust,negative,0,3/31/2021 15:51
tennis,GIF,peeking,neutral,35,2/15/2021 3:32
tennis,GIF,scared,negative,15,3/29/2021 19:03
tennis,GIF,scared,negative,15,7/29/2020 10:40
tennis,GIF,hate,negative,5,5/8/2021 13:47
tennis,GIF,heart,positive,60,11/6/2020 2:36
tennis,GIF,super love,positive,75,7/25/2020 16:31
tennis,GIF,worried,negative,12,12/4/2020 0:56
tennis,GIF,super love,positive,75,9/22/2020 2:08
tennis,GIF,hate,negative,5,7/5/2020 5:50
tennis,GIF,want,positive,70,10/20/2020 12:11
tennis,GIF,heart,positive,60,1/11/2021 6:02
tennis,GIF,want,positive,70,2/28/2021 7:51
tennis,GIF,intrigued,positive,45,12/6/2020 13:45
tennis,GIF,peeking,neutral,35,5/5/2021 9:54
tennis,GIF,interested,positive,30,8/27/2020 18:36
tennis,GIF,heart,positive,60,10/15/2020 1:29
tennis,GIF,peeking,neutral,35,1/15/2021 11:33
tennis,GIF,intrigued,positive,45,3/1/2021 20:26
tennis,GIF,peeking,neutral,35,11/28/2020 2:11
tennis,GIF,heart,positive,60,6/26/2020 19:05
tennis,GIF,cherish,positive,70,12/30/2020 13:37
tennis,GIF,super love,positive,75,2/14/2021 21:15
tennis,GIF,cherish,positive,70,3/27/2021 20:07
tennis,GIF,dislike,negative,10,8/23/2020 7:38
tennis,GIF,heart,positive,60,11/9/2020 8:23
tennis,GIF,hate,negative,5,5/12/2021 20:45
tennis,GIF,hate,negative,5,4/15/2021 13:23
tennis,GIF,peeking,neutral,35,8/16/2020 22:58
tennis,GIF,disgust,negative,0,9/11/2020 16:22
tennis,GIF,intrigued,positive,45,4/13/2021 1:43
tennis,GIF,cherish,positive,70,12/13/2020 15:59
tennis,GIF,dislike,negative,10,12/3/2020 8:08
tennis,GIF,disgust,negative,0,10/13/2020 16:31
tennis,GIF,want,positive,70,12/4/2020 10:04
tennis,GIF,peeking,neutral,35,1/25/2021 11:00
tennis,GIF,hate,negative,5,5/4/2021 19:40
tennis,GIF,disgust,negative,0,7/23/2020 19:31
food,video,love,positive,65,1/6/2021 6:08
food,video,worried,negative,12,10/21/2020 3:48
food,video,worried,negative,12,2/23/2021 22:36
food,video,super love,positive,75,1/26/2021 1:00
food,video,peeking,neutral,35,12/18/2020 14:07
food,video,indifferent,neutral,20,5/23/2021 23:27
food,video,worried,negative,12,10/31/2020 3:17
food,video,indifferent,neutral,20,2/20/2021 20:02
food,video,super love,positive,75,10/28/2020 13:14
food,video,peeking,neutral,35,8/30/2020 0:08
food,video,disgust,negative,0,12/8/2020 13:12
food,video,scared,negative,15,11/4/2020 21:06
food,video,scared,negative,15,8/24/2020 13:48
food,video,disgust,negative,0,1/5/2021 13:15
food,video,adore,positive,72,2/28/2021 9:21
food,video,dislike,negative,10,9/22/2020 4:09
food,video,disgust,negative,0,11/8/2020 2:43
food,video,love,positive,65,10/26/2020 11:48
food,video,heart,positive,60,11/4/2020 14:58
food,video,love,positive,65,5/31/2021 1:24
food,video,peeking,neutral,35,3/7/2021 6:31
food,video,intrigued,positive,45,6/17/2021 23:27
food,video,intrigued,positive,45,7/27/2020 23:54
food,video,disgust,negative,0,4/19/2021 1:45
food,video,like,positive,50,10/5/2020 13:55
food,video,super love,positive,75,9/28/2020 8:49
food,video,dislike,negative,10,2/25/2021 4:02
food,video,heart,positive,60,12/24/2020 22:31
food,video,heart,positive,60,6/15/2021 12:15
food,video,dislike,negative,10,5/3/2021 23:10
food,video,intrigued,positive,45,2/12/2021 4:23
food,video,adore,positive,72,8/31/2020 0:39
food,video,indifferent,neutral,20,1/11/2021 8:47
food,video,super love,positive,75,8/2/2020 20:28
food,video,disgust,negative,0,10/18/2020 12:49
food,video,peeking,neutral,35,3/28/2021 8:08
food,video,super love,positive,75,2/11/2021 4:02
food,video,heart,positive,60,8/12/2020 23:43
food,video,scared,negative,15,1/7/2021 2:48
food,video,interested,positive,30,10/27/2020 3:58
food,video,scared,negative,15,2/19/2021 0:55
food,video,super love,positive,75,6/8/2021 10:45
food,video,like,positive,50,10/18/2020 4:17
food,video,super love,positive,75,11/5/2020 13:54
food,video,intrigued,positive,45,8/16/2020 12:12
food,video,scared,negative,15,10/14/2020 14:55
food,video,peeking,neutral,35,4/1/2021 12:04
food,video,like,positive,50,9/25/2020 6:17
travel,audio,intrigued,positive,45,3/3/2021 18:40
fitness,GIF,interested,positive,30,10/30/2020 3:52
fitness,GIF,like,positive,50,2/12/2021 5:48
fitness,GIF,disgust,negative,0,2/8/2021 3:28
fitness,GIF,interested,positive,30,4/2/2021 7:49
fitness,GIF,worried,negative,12,6/30/2020 5:53
fitness,GIF,worried,negative,12,10/22/2020 23:10
fitness,GIF,indifferent,neutral,20,6/16/2021 13:46
fitness,GIF,cherish,positive,70,8/10/2020 13:42
soccer,GIF,adore,positive,72,7/26/2020 19:34
soccer,GIF,interested,positive,30,12/12/2020 15:31
soccer,GIF,want,positive,70,8/21/2020 15:22
soccer,GIF,indifferent,neutral,20,5/31/2021 20:37
soccer,GIF,indifferent,neutral,20,2/14/2021 6:00
soccer,GIF,disgust,negative,0,2/15/2021 20:35
public speaking,video,hate,negative,5,9/8/2020 14:01
public speaking,video,worried,negative,12,10/28/2020 7:37
public speaking,video,interested,positive,30,11/21/2020 19:53
public speaking,video,scared,negative,15,10/16/2020 22:41
public speaking,video,hate,negative,5,1/8/2021 12:46
public speaking,video,want,positive,70,9/7/2020 6:55
public speaking,video,hate,negative,5,1/26/2021 16:14
public speaking,video,worried,negative,12,9/15/2020 22:47
public speaking,video,love,positive,65,11/9/2020 0:34
public speaking,video,like,positive,50,9/3/2020 13:36
public speaking,video,indifferent,neutral,20,2/1/2021 4:49
public speaking,video,want,positive,70,4/14/2021 18:36
public speaking,video,love,positive,65,1/12/2021 11:57
public speaking,video,dislike,negative,10,11/2/2020 22:53
public speaking,video,heart,positive,60,3/8/2021 0:05
public speaking,video,want,positive,70,9/14/2020 5:11
public speaking,video,dislike,negative,10,7/28/2020 9:50
public speaking,video,want,positive,70,6/30/2020 1:25
public speaking,video,adore,positive,72,1/26/2021 19:53
public speaking,video,cherish,positive,70,6/30/2020 7:10
public speaking,video,adore,positive,72,5/19/2021 16:20
public speaking,video,want,positive,70,3/11/2021 23:55
public speaking,video,want,positive,70,10/17/2020 22:39
public speaking,video,adore,positive,72,4/12/2021 17:12
public speaking,video,hate,negative,5,11/25/2020 1:57
public speaking,video,disgust,negative,0,6/9/2021 9:41
public speaking,video,peeking,neutral,35,5/20/2021 17:51
public speaking,video,hate,negative,5,9/30/2020 18:09
public speaking,video,super love,positive,75,10/7/2020 16:03
public speaking,video,scared,negative,15,10/7/2020 1:24
public speaking,video,scared,negative,15,1/11/2021 16:13
public speaking,video,disgust,negative,0,12/26/2020 6:13
public speaking,video,disgust,negative,0,6/15/2021 17:31
public speaking,video,scared,negative,15,5/21/2021 9:25
public speaking,video,intrigued,positive,45,11/14/2020 15:11
public speaking,video,super love,positive,75,5/5/2021 15:38
public speaking,video,interested,positive,30,8/17/2020 10:08
public speaking,video,intrigued,positive,45,12/31/2020 5:53
food,video,disgust,negative,0,11/21/2020 3:14
food,video,hate,negative,5,10/5/2020 18:00
food,video,cherish,positive,70,5/28/2021 15:20
food,video,hate,negative,5,1/12/2021 12:14
food,video,scared,negative,15,2/20/2021 0:07
food,video,intrigued,positive,45,7/14/2020 21:01
food,video,worried,negative,12,6/5/2021 10:04
food,video,want,positive,70,3/23/2021 1:55
food,video,cherish,positive,70,5/18/2021 9:52
food,video,scared,negative,15,8/31/2020 5:22
food,video,like,positive,50,6/4/2021 16:57
food,video,disgust,negative,0,1/1/2021 11:23
food,video,dislike,negative,10,5/29/2021 4:16
food,video,interested,positive,30,7/18/2020 10:43
food,video,adore,positive,72,11/7/2020 1:54
food,video,like,positive,50,8/11/2020 12:01
food,video,dislike,negative,10,7/24/2020 18:23
food,video,scared,negative,15,10/8/2020 8:38
food,video,indifferent,neutral,20,2/5/2021 13:05
food,video,indifferent,neutral,20,11/9/2020 3:05
food,video,interested,positive,30,7/26/2020 10:36
food,video,like,positive,50,5/19/2021 4:30
food,video,super love,positive,75,11/15/2020 22:53
food,video,worried,negative,12,2/4/2021 13:45
food,video,intrigued,positive,45,8/1/2020 23:38
food,video,super love,positive,75,9/22/2020 17:07
tennis,video,adore,positive,72,5/21/2021 12:47
tennis,video,peeking,neutral,35,2/25/2021 12:05
tennis,video,disgust,negative,0,4/10/2021 9:41
tennis,video,worried,negative,12,4/6/2021 19:56
tennis,video,worried,negative,12,4/5/2021 16:42
tennis,video,disgust,negative,0,12/14/2020 12:53
tennis,video,heart,positive,60,3/6/2021 10:03
tennis,video,hate,negative,5,10/12/2020 1:42
tennis,video,like,positive,50,11/14/2020 10:25
tennis,video,scared,negative,15,6/7/2021 12:44
tennis,video,hate,negative,5,2/13/2021 13:45
tennis,video,love,positive,65,5/8/2021 11:21
tennis,video,scared,negative,15,11/20/2020 19:09
tennis,video,want,positive,70,7/18/2020 3:52
tennis,video,love,positive,65,8/27/2020 15:23
tennis,video,dislike,negative,10,9/29/2020 2:49
tennis,video,like,positive,50,8/17/2020 14:29
tennis,video,want,positive,70,8/16/2020 17:45
tennis,video,like,positive,50,7/6/2020 0:08
tennis,video,heart,positive,60,7/22/2020 1:15
tennis,video,scared,negative,15,5/16/2021 13:24
tennis,video,love,positive,65,5/20/2021 22:09
tennis,video,hate,negative,5,2/11/2021 8:54
tennis,video,intrigued,positive,45,8/3/2020 17:58
tennis,video,want,positive,70,9/18/2020 16:29
tennis,video,hate,negative,5,3/27/2021 8:58
tennis,video,dislike,negative,10,7/13/2020 21:02
tennis,video,super love,positive,75,1/19/2021 3:07
tennis,video,want,positive,70,4/30/2021 6:11
tennis,video,like,positive,50,4/4/2021 1:34
tennis,video,indifferent,neutral,20,2/3/2021 18:41
tennis,video,disgust,negative,0,10/6/2020 10:20
tennis,video,interested,positive,30,11/7/2020 17:59
tennis,video,dislike,negative,10,12/22/2020 1:07
tennis,video,indifferent,neutral,20,3/20/2021 14:45
tennis,video,intrigued,positive,45,8/14/2020 9:02
tennis,video,intrigued,positive,45,9/20/2020 19:55
tennis,video,scared,negative,15,12/20/2020 16:12
tennis,video,adore,positive,72,5/8/2021 18:54
tennis,video,peeking,neutral,35,10/23/2020 18:02
tennis,video,disgust,negative,0,8/27/2020 15:08
tennis,video,cherish,positive,70,5/23/2021 4:59
tennis,video,love,positive,65,11/27/2020 2:50
tennis,video,super love,positive,75,4/16/2021 11:15
tennis,video,hate,negative,5,5/29/2021 4:12
soccer,GIF,worried,negative,12,10/27/2020 22:11
soccer,GIF,intrigued,positive,45,4/3/2021 5:44
soccer,GIF,dislike,negative,10,6/29/2020 7:21
soccer,GIF,hate,negative,5,9/24/2020 6:28
soccer,GIF,disgust,negative,0,9/13/2020 8:14
soccer,GIF,disgust,negative,0,8/19/2020 3:04
soccer,GIF,cherish,positive,70,5/11/2021 19:35
soccer,GIF,indifferent,neutral,20,4/2/2021 19:50
soccer,GIF,cherish,positive,70,9/22/2020 1:23
soccer,GIF,scared,negative,15,8/5/2020 16:00
soccer,GIF,indifferent,neutral,20,12/15/2020 21:35
soccer,GIF,love,positive,65,5/28/2021 7:57
soccer,GIF,love,positive,65,6/9/2021 3:55
soccer,GIF,cherish,positive,70,9/7/2020 15:21
soccer,GIF,dislike,negative,10,8/8/2020 0:29
soccer,GIF,like,positive,50,12/19/2020 19:32
soccer,GIF,hate,negative,5,5/24/2021 6:17
soccer,GIF,worried,negative,12,1/26/2021 7:25
soccer,GIF,super love,positive,75,10/30/2020 16:05
soccer,GIF,heart,positive,60,6/13/2021 16:05
soccer,GIF,interested,positive,30,12/18/2020 2:24
soccer,GIF,scared,negative,15,7/21/2020 16:09
soccer,GIF,like,positive,50,2/5/2021 15:30
soccer,GIF,cherish,positive,70,12/10/2020 5:51
soccer,GIF,love,positive,65,9/26/2020 12:50
soccer,GIF,want,positive,70,1/13/2021 16:16
soccer,GIF,like,positive,50,11/12/2020 17:49
soccer,GIF,disgust,negative,0,3/9/2021 21:30
soccer,GIF,heart,positive,60,5/18/2021 3:47
soccer,GIF,super love,positive,75,6/12/2021 22:03
soccer,GIF,super love,positive,75,8/2/2020 18:35
soccer,GIF,hate,negative,5,4/14/2021 13:48
soccer,GIF,disgust,negative,0,12/12/2020 23:02
soccer,GIF,indifferent,neutral,20,8/24/2020 9:55
soccer,GIF,like,positive,50,10/7/2020 9:31
soccer,GIF,like,positive,50,3/11/2021 14:45
soccer,GIF,disgust,negative,0,3/30/2021 23:01
soccer,GIF,peeking,neutral,35,1/3/2021 4:02
soccer,GIF,peeking,neutral,35,5/30/2021 9:31
soccer,GIF,interested,positive,30,4/27/2021 20:21
soccer,GIF,indifferent,neutral,20,4/13/2021 13:42
soccer,GIF,indifferent,neutral,20,3/13/2021 16:37
soccer,GIF,adore,positive,72,9/7/2020 11:48
soccer,GIF,interested,positive,30,2/6/2021 13:18
soccer,GIF,scared,negative,15,5/18/2021 9:28
soccer,GIF,super love,positive,75,4/25/2021 9:44
soccer,GIF,dislike,negative,10,2/28/2021 16:15
soccer,GIF,disgust,negative,0,10/22/2020 3:40
soccer,GIF,peeking,neutral,35,5/24/2021 22:19
soccer,GIF,intrigued,positive,45,1/25/2021 6:22
soccer,GIF,interested,positive,30,11/16/2020 6:37
soccer,GIF,dislike,negative,10,10/25/2020 11:15
soccer,GIF,interested,positive,30,4/18/2021 11:43
soccer,GIF,indifferent,neutral,20,6/3/2021 19:13
soccer,GIF,love,positive,65,10/26/2020 12:50
soccer,GIF,indifferent,neutral,20,9/8/2020 7:08
soccer,GIF,dislike,negative,10,12/2/2020 8:56
soccer,GIF,adore,positive,72,11/18/2020 8:02
soccer,GIF,adore,positive,72,5/25/2021 14:14
soccer,GIF,indifferent,neutral,20,4/26/2021 6:00
soccer,GIF,peeking,neutral,35,1/30/2021 14:21
soccer,GIF,peeking,neutral,35,7/23/2020 2:21
soccer,GIF,cherish,positive,70,12/6/2020 14:59
soccer,GIF,cherish,positive,70,6/13/2021 3:27
soccer,GIF,intrigued,positive,45,1/23/2021 2:20
soccer,GIF,intrigued,positive,45,7/14/2020 8:11
soccer,GIF,heart,positive,60,4/23/2021 22:20
